購入日,顧客ID,従業員数,商品カテゴリ,ID,単価,注文数,購入額
2020/2/8,CS003277,7,ミネラルウォーター類,PD09271,200,46,9200
2020/2/8,CS001036,26,ミネラルウォーター類,PD05370,150,29,4350
2020/2/8,CS006358,66,コーラ炭酸飲料,PD08673,150,72,10800
2020/2/8,CS006190,33,ミネラルウォーター類,PD04816,150,46,6900
2020/2/8,CS000535,193,果汁入り炭酸飲料（5%以上10%未満）,PD08271,200,53,10600
2020/2/8,CS003925,40,ミネラルウォーター類,PD08508,150,54,8100
2020/2/8,CS009123,397,ミネラルウォーター類,PD03708,150,28,4200
2020/2/8,CS006190,33,スポーツ飲料等,PD05166,150,32,4800
2020/2/8,CS007974,224,ミネラルウォーター類,PD07542,150,224,33600
2020/2/8,CS003113,30,ミネラルウォーター類,PD08918,150,26,3900
2020/2/8,CS007979,454,むぎ茶飲料,PD09137,120,42,5040
2020/2/9,CS000821,25,むぎ茶飲料,PD08113,150,54,8100
2020/2/9,CS008999,43,スポーツ飲料等,PD02847,150,39,5850
2020/2/9,CS005564,126,ミネラルウォーター類,PD03366,200,116,23200
2020/2/9,CS003260,40,果実ジュース（果汁100%）,PD07120,150,20,3000
2020/2/9,CS008858,100,ミネラルウォーター類,PD04079,100,94,9400
2020/2/9,CS004448,11,ミネラルウォーター類,PD04174,120,11,1320
2020/2/9,CS009706,16,コーヒー入り乳飲料,PD07789,150,21,3150
2020/2/9,CS005472,152,コーヒー,PD06950,150,29,4350
2020/2/9,CS007412,148,コーヒー,PD04821,120,144,17280
2020/2/9,CS007979,454,果実フレーバー／着色炭酸飲料,PD07333,150,443,66450
2020/2/9,CS003737,22,コーラ炭酸飲料,PD02933,200,48,9600
2020/2/9,CS001621,58,ミネラルウォーター類,PD03471,200,36,7200
2020/2/9,CS003277,7,コーヒー,PD03543,150,54,8100
2020/2/9,CS006094,122,コーラ炭酸飲料,PD05842,150,39,5850
2020/2/9,CS006724,51,スポーツ飲料等,PD05931,120,26,3120
2020/2/9,CS008430,22,コーヒー,PD08409,120,47,5640
2020/2/9,CS000396,23,スポーツ飲料等,PD04541,150,38,5700
2020/2/9,CS000769,94,ミネラルウォーター類,PD01390,200,97,19400
2020/2/9,CS000396,23,ミネラルウォーター類,PD04896,150,32,4800
2020/2/9,CS008101,23,ミネラルウォーター類,PD09998,200,25,5000
2020/2/9,CS000965,6,コーラ炭酸飲料,PD07690,120,7,840
2020/2/9,CS000821,25,コーラ炭酸飲料,PD03664,200,38,7600
2020/2/9,CS000183,122,コーヒー,PD00444,100,46,4600
2020/2/9,CS000396,23,コーヒー,PD06606,150,4,600
2020/2/9,CS003277,7,ミネラルウォーター類,PD03922,120,9,1080
2020/2/9,CS001611,68,ミネラルウォーター類,PD04079,100,35,3500
2020/2/9,CS007982,204,むぎ茶飲料,PD04378,150,34,5100
2020/2/9,CS008999,43,コーヒー,PD04249,150,44,6600
2020/2/10,CS008477,388,豆乳類等,PD08805,150,388,58200
2020/2/10,CS003958,53,ミネラルウォーター類,PD09782,200,32,6400
2020/2/10,CS004361,71,コーラ炭酸飲料,PD04404,120,44,5280
2020/2/10,CS008858,100,むぎ茶飲料,PD07593,200,92,18400
2020/2/10,CS000778,18,スポーツ飲料等,PD09737,150,39,5850
2020/2/10,CS000921,24,ミネラルウォーター類,PD06598,120,36,4320
2020/2/10,CS006094,122,ブレンド茶飲料,PD07835,100,47,4700
2020/2/10,CS003277,7,コーヒー,PD04249,150,12,1800
2020/2/10,CS000778,18,ブレンド茶飲料,PD06653,120,2,240
2020/2/10,CS003925,40,コーヒー,PD07998,150,50,7500
2020/2/10,CS006724,51,ミネラルウォーター類,PD07891,200,71,14200
2020/2/10,CS004000,79,コーラ炭酸飲料,PD00426,200,78,15600
2020/2/10,CS004001,458,コーヒー,PD02098,150,23,3450
2020/2/10,CS004448,11,ブレンド茶飲料,PD06509,120,42,5040
2020/2/10,CS000386,30,ウーロン系飲料,PD05681,150,35,5250
2020/2/10,CS006724,51,コーラ炭酸飲料,PD01288,200,50,10000
2020/2/10,CS000183,122,ブレンド茶飲料,PD06523,100,126,12600
2020/2/10,CS002266,23,果汁入り飲料（ネクター類）,PD04657,200,39,7800
2020/2/10,CS005472,152,果汁入り炭酸飲料（5%以上10%未満）,PD07350,100,165,16500
2020/2/10,CS009123,397,むぎ茶飲料,PD03848,150,52,7800
2020/2/10,CS000730,70,ミネラルウォーター類,PD01775,200,32,6400
2020/2/11,CS000734,57,コーヒー,PD06606,150,60,9000
2020/2/11,CS000535,193,スポーツ飲料等,PD06191,100,220,22000
2020/2/11,CS008799,106,むぎ茶飲料,PD08826,200,58,11600
2020/2/11,CS005968,82,ミネラルウォーター類,PD01118,150,84,12600
2020/2/11,CS005254,106,果実ジュース（果汁100%）,PD06011,150,39,5850
2020/2/11,CS009137,80,コーラ炭酸飲料,PD01569,200,43,8600
2020/2/11,CS000965,6,ミネラルウォーター類,PD04547,150,4,600
2020/2/11,CS007383,93,ミネラルウォーター類,PD09554,120,103,12360
2020/2/11,CS000183,122,豆乳類等,PD06853,150,39,5850
2020/2/11,CS007150,8,ミネラルウォーター類,PD09903,100,15,1500
2020/2/11,CS006334,98,果実フレーバー／着色炭酸飲料,PD07311,100,30,3000
2020/2/11,CS001417,22,果実ジュース（果汁100%）,PD02043,200,13,2600
2020/2/12,CS007776,131,むぎ茶飲料,PD03848,150,128,19200
2020/2/12,CS004448,11,ミネラルウォーター類,PD08712,150,42,6300
2020/2/12,CS008477,388,スポーツ飲料等,PD03718,120,392,47040
2020/2/12,CS005968,82,スポーツ飲料等,PD09737,150,98,14700
2020/2/12,CS007425,55,ブレンド茶飲料,PD06822,150,63,9450
2020/2/12,CS006627,58,コーヒー,PD01501,150,49,7350
2020/2/12,CS000557,64,ミネラルウォーター類,PD05638,150,78,11700
2020/2/12,CS008625,7,ミネラルウォーター類,PD09434,150,38,5700
2020/2/12,CS008239,159,ミネラルウォーター類,PD04919,150,51,7650
2020/2/12,CS005564,126,果汁入り飲料（ネクター類）,PD09060,200,118,23600
2020/2/12,CS004630,105,ミネラルウォーター類,PD05621,150,53,7950
2020/2/12,CS007198,80,ミネラルウォーター類,PD05771,150,84,12600
2020/2/12,CS007130,87,コーラ炭酸飲料,PD02600,150,33,4950
2020/2/12,CS000409,24,果汁入り炭酸飲料（5%以上10%未満）,PD04978,200,37,7400
2020/2/12,CS004465,54,コーヒー,PD02646,150,37,5550
2020/2/13,CS005761,122,栄養ドリンク炭酸飲料,PD07494,120,111,13320
2020/2/13,CS007383,93,ウーロン系飲料,PD06718,200,46,9200
2020/2/13,CS007383,93,コーラ炭酸飲料,PD06924,100,84,8400
2020/2/13,CS005679,124,むぎ茶飲料,PD03353,150,53,7950
2020/2/13,CS007279,282,ブレンド茶飲料,PD05815,120,274,32880
2020/2/13,CS004465,54,ミネラルウォーター類,PD02685,120,34,4080
2020/2/13,CS005188,21,果実フレーバー／着色炭酸飲料,PD09664,150,10,1500
2020/2/13,CS001417,22,ミネラルウォーター類,PD09264,150,20,3000
2020/2/13,CS006237,141,ミネラルウォーター類,PD03692,200,126,25200
2020/2/13,CS006627,58,ミネラルウォーター類,PD00113,200,38,7600
2020/2/13,CS007383,93,むぎ茶飲料,PD01072,150,94,14100
2020/2/13,CS000769,94,コーヒー,PD04578,150,104,15600
2020/2/13,CS008625,7,ミネラルウォーター類,PD02663,150,4,600
2020/2/13,CS007412,148,ミネラルウォーター類,PD02081,150,160,24000
2020/2/13,CS004897,186,栄養ドリンク炭酸飲料,PD01201,150,45,6750
2020/2/14,CS005114,86,コーヒー,PD04868,120,43,5160
2020/2/14,CS008858,100,コーヒー入り乳飲料,PD07789,150,37,5550
2020/2/14,CS007412,148,ウーロン系飲料,PD09236,200,33,6600
2020/2/14,CS003277,7,ミネラルウォーター類,PD07730,150,38,5700
2020/2/14,CS004630,105,ブレンド茶飲料,PD06266,100,23,2300
2020/2/14,CS005761,122,ミネラルウォーター類,PD03756,150,33,4950
2020/2/14,CS008858,100,コーラ炭酸飲料,PD04093,150,100,15000
2020/2/14,CS001036,26,コーヒー,PD04445,150,41,6150
2020/2/14,CS003971,10,ミネラルウォーター類,PD02624,150,41,6150
2020/2/14,CS004392,103,果汁入り炭酸飲料（5%以上10%未満）,PD09585,150,97,14550
2020/2/14,CS000030,80,スポーツ飲料等,PD02283,200,21,4200
2020/2/14,CS005679,124,むぎ茶飲料,PD06596,150,30,4500
2020/2/14,CS003971,10,コーヒー,PD01930,150,7,1050
2020/2/14,CS006726,80,豆乳類等,PD05511,150,91,13650
2020/2/14,CS007425,55,ミネラルウォーター類,PD01817,150,24,3600
2020/2/14,CS008540,152,ミネラルウォーター類,PD01118,150,140,21000
2020/2/14,CS004124,75,ミネラルウォーター類,PD09384,150,59,8850
2020/2/14,CS007425,55,スポーツ飲料等,PD06191,100,47,4700
2020/2/14,CS000409,24,スポーツ飲料等,PD07999,200,10,2000
2020/2/14,CS004465,54,コーラ炭酸飲料,PD07197,200,34,6800
2020/2/14,CS000396,23,むぎ茶飲料,PD07917,150,6,900
2020/2/15,CS005432,320,ミネラルウォーター類,PD06882,200,35,7000
2020/2/15,CS006237,141,コーヒー,PD08409,120,152,18240
2020/2/15,CS004630,105,豆乳類等,PD05782,150,38,5700
2020/2/15,CS003737,22,ウーロン系飲料,PD09251,200,48,9600
2020/2/15,CS000821,25,コーラ炭酸飲料,PD02600,150,34,5100
2020/2/15,CS004000,79,ブレンド茶飲料,PD08618,150,70,10500
2020/2/15,CS001621,58,果実フレーバー／着色炭酸飲料,PD03889,200,41,8200
2020/2/15,CS008646,7,スポーツ飲料等,PD09737,150,13,1950
2020/2/15,CS008477,388,ミネラルウォーター類,PD04088,200,40,8000
2020/2/15,CS009137,80,スポーツ飲料等,PD00647,200,73,14600
2020/2/15,CS005564,126,ミネラルウォーター類,PD02716,150,36,5400
2020/2/15,CS003377,7,コーヒー,PD08315,200,27,5400
2020/2/15,CS007131,71,ブレンド茶飲料,PD06217,100,69,6900
2020/2/15,CS004361,71,豆乳類等,PD01843,150,55,8250
2020/2/15,CS005761,122,ミネラルウォーター類,PD09271,200,49,9800
2020/2/15,CS008858,100,ミネラルウォーター類,PD05419,100,94,9400
2020/2/15,CS007982,204,コーヒー,PD09294,150,198,29700
2020/2/15,CS007198,80,ミネラルウォーター類,PD09452,150,48,7200
2020/2/16,CS000535,193,ミネラルウォーター類,PD00543,150,32,4800
2020/2/16,CS008101,23,果汁入り炭酸飲料（5%以上10%未満）,PD00058,150,43,6450
2020/2/16,CS000183,122,スポーツ飲料等,PD09282,150,42,6300
2020/2/16,CS006094,122,むぎ茶飲料,PD05222,150,68,10200
2020/2/16,CS000965,6,ミネラルウォーター類,PD02081,150,6,900
2020/2/16,CS003971,10,コーラ炭酸飲料,PD06669,150,16,2400
2020/2/16,CS000183,122,コーラ炭酸飲料,PD01155,120,123,14760
2020/2/16,CS001036,26,コーヒー,PD04473,200,28,5600
2020/2/16,CS003012,66,コーヒー,PD08741,120,64,7680
2020/2/16,CS006334,98,コーラ炭酸飲料,PD01942,100,34,3400
2020/2/16,CS006627,58,スポーツ飲料等,PD07323,120,54,6480
2020/2/16,CS004971,45,ミネラルウォーター類,PD03692,200,61,12200
2020/2/16,CS008910,400,ミネラルウォーター類,PD00815,200,33,6600
2020/2/16,CS008858,100,果汁入り炭酸飲料（5%以上10%未満）,PD00325,150,44,6600
2020/2/17,CS004001,458,ミネラルウォーター類,PD02952,150,58,8700
2020/2/17,CS000769,94,コーヒー,PD08975,120,88,10560
2020/2/17,CS006726,80,むぎ茶飲料,PD05110,200,52,10400
2020/2/17,CS008858,100,ミネラルウォーター類,PD08800,200,65,13000
2020/2/17,CS006237,141,ブレンド茶飲料,PD00516,120,155,18600
2020/2/17,CS003277,7,ミネラルウォーター類,PD01383,150,51,7650
2020/2/17,CS008365,16,ミネラルウォーター類,PD09903,100,41,4100
2020/2/17,CS006334,98,コーヒー,PD07244,200,39,7800
2020/2/17,CS008076,18,果実ジュース（果汁100%）,PD02043,200,20,4000
2020/2/17,CS008858,100,スポーツ飲料等,PD06782,200,110,22000
2020/2/17,CS003260,40,果汁入り飲料（ネクター類）,PD09060,200,29,5800
2020/2/17,CS007462,57,コーヒー,PD09209,150,31,4650
2020/2/17,CS003958,53,ブレンド茶飲料,PD01488,150,41,6150
2020/2/17,CS003113,30,栄養ドリンク炭酸飲料,PD01755,150,53,7950
2020/2/17,CS005564,126,ブレンド茶飲料,PD05623,150,119,17850
2020/2/17,CS006627,58,コーラ炭酸飲料,PD06737,200,59,11800
2020/2/17,CS007979,454,コーラ炭酸飲料,PD07690,120,457,54840
2020/2/17,CS008858,100,ミネラルウォーター類,PD08750,150,34,5100
2020/2/17,CS004234,126,コーヒー,PD08975,120,110,13200
2020/2/18,CS004658,32,果汁入り炭酸飲料（5%以上10%未満）,PD07085,150,19,2850
2020/2/18,CS000030,80,ブレンド茶飲料,PD06939,150,37,5550
2020/2/18,CS000557,64,ミネラルウォーター類,PD09390,200,31,6200
2020/2/18,CS004392,103,コーヒー,PD03374,200,39,7800
2020/2/18,CS005114,86,栄養ドリンク炭酸飲料,PD01167,150,42,6300
2020/2/18,CS003277,7,コーヒー,PD05507,200,9,1800
2020/2/18,CS008430,22,ミネラルウォーター類,PD01799,150,34,5100
2020/2/18,CS004392,103,ミネラルウォーター類,PD07293,200,95,19000
2020/2/18,CS008239,159,栄養ドリンク炭酸飲料,PD08510,200,40,8000
2020/2/18,CS005432,320,コーヒー,PD07816,150,311,46650
2020/2/18,CS006726,80,栄養ドリンク炭酸飲料,PD08510,200,53,10600
2020/2/18,CS006334,98,スポーツ飲料等,PD00212,150,94,14100
2020/2/18,CS000821,25,コーラ炭酸飲料,PD06678,150,34,5100
2020/2/18,CS006094,122,コーヒー,PD00444,100,120,12000
2020/2/18,CS000769,94,ミネラルウォーター類,PD05255,150,92,13800
2020/2/18,CS004448,11,コーヒー,PD06950,150,11,1650
2020/2/18,CS003377,7,スポーツ飲料等,PD04987,150,2,300
2020/2/18,CS000730,70,ミネラルウォーター類,PD06927,120,16,1920
2020/2/19,CS008625,7,ミネラルウォーター類,PD05085,100,13,1300
2020/2/19,CS003260,40,ミネラルウォーター類,PD05779,150,43,6450
2020/2/19,CS007150,8,果実ジュース（果汁100%）,PD04094,150,16,2400
2020/2/19,CS008910,400,ミネラルウォーター類,PD01045,200,50,10000
2020/2/19,CS008646,7,豆乳類等,PD08256,150,16,2400
2020/2/19,CS003012,66,ミネラルウォーター類,PD01017,150,57,8550
2020/2/19,CS005679,124,ミネラルウォーター類,PD03218,200,111,22200
2020/2/19,CS009137,80,ミネラルウォーター類,PD04919,150,73,10950
2020/2/19,CS003971,10,ミネラルウォーター類,PD02445,100,51,5100
2020/2/19,CS000183,122,スポーツ飲料等,PD08981,150,116,17400
2020/2/19,CS004630,105,コーヒー,PD05927,200,17,3400
2020/2/19,CS004234,126,スポーツ飲料等,PD00647,200,131,26200
2020/2/19,CS003737,22,コーヒー,PD07816,150,47,7050
2020/2/20,CS007131,71,コーヒー,PD06102,150,46,6900
2020/2/20,CS005564,126,ウーロン系飲料,PD05148,100,52,5200
2020/2/20,CS000769,94,コーヒー,PD00989,120,66,7920
2020/2/20,CS005564,126,豆乳類等,PD00195,200,121,24200
2020/2/20,CS004465,54,豆乳類等,PD09437,100,55,5500
2020/2/20,CS007425,55,豆乳類等,PD00558,200,50,10000
2020/2/20,CS005761,122,スポーツ飲料等,PD07825,100,127,12700
2020/2/20,CS008365,16,ミネラルウォーター類,PD01949,150,20,3000
2020/2/20,CS003260,40,ミネラルウォーター類,PD07891,200,47,9400
2020/2/20,CS007383,93,スポーツ飲料等,PD00726,150,51,7650
2020/2/20,CS000778,18,コーヒー,PD09294,150,41,6150
2020/2/20,CS005968,82,栄養ドリンク炭酸飲料,PD04216,200,32,6400
2020/2/20,CS008910,400,ミネラルウォーター類,PD00508,200,25,5000
2020/2/20,CS005188,21,ミネラルウォーター類,PD09033,120,30,3600
2020/2/20,CS008799,106,豆乳類等,PD05782,150,49,7350
2020/2/20,CS005254,106,コーヒー,PD08409,120,24,2880
2020/2/20,CS001417,22,むぎ茶飲料,PD02242,200,52,10400
2020/2/20,CS005114,86,栄養ドリンク炭酸飲料,PD09228,150,84,12600
2020/2/20,CS001036,26,ブレンド茶飲料,PD09054,150,22,3300
2020/2/21,CS000557,64,コーラ炭酸飲料,PD01942,100,67,6700
2020/2/21,CS004361,71,スポーツ飲料等,PD09274,150,68,10200
2020/2/21,CS006237,141,むぎ茶飲料,PD01465,200,57,11400
2020/2/21,CS009530,108,ミネラルウォーター類,PD07592,200,113,22600
2020/2/21,CS006358,66,果汁入り炭酸飲料（5%以上10%未満）,PD03231,150,41,6150
2020/2/21,CS004361,71,スポーツ飲料等,PD02847,150,35,5250
2020/2/21,CS000730,70,むぎ茶飲料,PD04378,150,39,5850
2020/2/21,CS008101,23,ミネラルウォーター類,PD03790,150,34,5100
2020/2/21,CS009706,16,むぎ茶飲料,PD03353,150,26,3900
2020/2/21,CS008365,16,コーラ炭酸飲料,PD03639,200,36,7200
2020/2/21,CS004465,54,ミネラルウォーター類,PD02825,150,51,7650
2020/2/21,CS008239,159,栄養ドリンク炭酸飲料,PD05113,150,170,25500
2020/2/21,CS005114,86,コーラ炭酸飲料,PD05365,200,33,6600
2020/2/21,CS004124,75,ミネラルウォーター類,PD09033,120,36,4320
2020/2/21,CS000030,80,豆乳類等,PD01997,150,73,10950
2020/2/21,CS004361,71,コーラ炭酸飲料,PD04877,150,86,12900
2020/2/21,CS005761,122,むぎ茶飲料,PD04005,150,122,18300
2020/2/21,CS005564,126,豆乳類等,PD07752,200,49,9800
2020/2/21,CS007462,57,ミネラルウォーター類,PD02125,200,29,5800
2020/2/21,CS003958,53,スポーツ飲料等,PD08551,150,55,8250
2020/2/22,CS004897,186,コーヒー,PD01287,200,187,37400
2020/2/22,CS001036,26,ミネラルウォーター類,PD01146,150,33,4950
2020/2/22,CS003277,7,コーヒー,PD04578,150,35,5250
2020/2/22,CS000183,122,コーヒー,PD05734,150,121,18150
2020/2/22,CS000821,25,果実ジュース（果汁100%）,PD01898,120,43,5160
2020/2/22,CS000730,70,栄養ドリンク炭酸飲料,PD01167,150,70,10500
2020/2/22,CS009473,38,栄養ドリンク炭酸飲料,PD04294,100,39,3900
2020/2/22,CS003971,10,ミネラルウォーター類,PD04412,150,40,6000
2020/2/22,CS004897,186,果実ジュース（果汁100%）,PD03796,100,198,19800
2020/2/22,CS000921,24,ウーロン系飲料,PD06249,200,29,5800
2020/2/22,CS008540,152,ミネラルウォーター類,PD02919,200,161,32200
2020/2/22,CS005472,152,ミネラルウォーター類,PD08400,150,142,21300
2020/2/22,CS004658,32,コーヒー,PD01287,200,54,10800
2020/2/22,CS007150,8,コーラ炭酸飲料,PD09011,100,33,3300
2020/2/22,CS006726,80,ブレンド茶飲料,PD06509,120,50,6000
2020/2/22,CS005564,126,コーヒー,PD05927,200,122,24400
2020/2/23,CS004000,79,ブレンド茶飲料,PD06196,150,81,12150
2020/2/23,CS007198,80,むぎ茶飲料,PD06197,200,38,7600
2020/2/23,CS008076,18,ミネラルウォーター類,PD07493,200,3,600
2020/2/23,CS003958,53,ミネラルウォーター類,PD06598,120,40,4800
2020/2/23,CS003971,10,果実ジュース（果汁100%）,PD07555,100,47,4700
2020/2/23,CS004001,458,ミネラルウォーター類,PD02147,120,471,56520
2020/2/23,CS001611,68,ミネラルウォーター類,PD04904,200,47,9400
2020/2/23,CS008306,113,ミネラルウォーター類,PD04544,200,107,21400
2020/2/23,CS006237,141,ミネラルウォーター類,PD06096,150,41,6150
2020/2/23,CS001036,26,コーヒー入り乳飲料,PD05285,150,30,4500
2020/2/23,CS003113,30,コーヒー,PD06998,150,22,3300
2020/2/23,CS005564,126,ミネラルウォーター類,PD07913,150,137,20550
2020/2/23,CS008430,22,ミネラルウォーター類,PD05474,200,18,3600
2020/2/23,CS003277,7,ミネラルウォーター類,PD03812,200,41,8200
2020/2/23,CS003377,7,コーヒー,PD09051,150,11,1650
2020/2/23,CS005679,124,果汁入り炭酸飲料（5%以上10%未満）,PD09780,200,123,24600
2020/2/23,CS006190,33,ウーロン系飲料,PD03168,200,32,6400
2020/2/23,CS005679,124,むぎ茶飲料,PD01465,200,36,7200
2020/2/23,CS003260,40,豆乳類等,PD05511,150,57,8550
2020/2/23,CS008101,23,ミネラルウォーター類,PD03844,200,35,7000
2020/2/23,CS000396,23,コーヒー,PD08305,200,15,3000
2020/2/24,CS005254,106,ミネラルウォーター類,PD08327,150,104,15600
2020/2/24,CS004234,126,スポーツ飲料等,PD07825,100,50,5000
2020/2/24,CS003113,30,ミネラルウォーター類,PD05710,200,41,8200
2020/2/24,CS006190,33,スポーツ飲料等,PD05562,150,35,5250
2020/2/24,CS009473,38,コーラ炭酸飲料,PD06678,150,55,8250
2020/2/24,CS003377,7,むぎ茶飲料,PD08039,100,43,4300
2020/2/24,CS003958,53,コーヒー,PD05508,200,49,9800
2020/2/24,CS004392,103,ミネラルウォーター類,PD05085,100,104,10400
2020/2/24,CS004448,11,ミネラルウォーター類,PD05459,150,63,9450
2020/2/24,CS000734,57,果実ジュース（果汁100%）,PD04788,150,40,6000
2020/2/24,CS000535,193,ミネラルウォーター類,PD04251,150,208,31200
2020/2/24,CS007130,87,果汁入り飲料（ネクター類）,PD03478,120,94,11280
2020/2/24,CS000730,70,ミネラルウォーター類,PD03784,150,43,6450
2020/2/24,CS008101,23,コーラ炭酸飲料,PD08560,200,57,11400
2020/2/24,CS006627,58,ウーロン系飲料,PD08023,100,56,5600
2020/2/24,CS006662,13,スポーツ飲料等,PD00920,100,8,800
2020/2/24,CS004124,75,果汁入り炭酸飲料（5%以上10%未満）,PD06520,150,79,11850
2020/2/24,CS007979,454,果実ジュース（果汁100%）,PD02043,200,457,91400
2020/2/25,CS000965,6,スポーツ飲料等,PD04107,120,6,720
2020/2/25,CS009473,38,コーヒー,PD00444,100,47,4700
2020/2/25,CS001036,26,スポーツ飲料等,PD00212,150,7,1050
2020/2/25,CS000386,30,ミネラルウォーター類,PD01539,150,54,8100
2020/2/25,CS000896,79,ミネラルウォーター類,PD06164,200,46,9200
2020/2/25,CS000730,70,ミネラルウォーター類,PD03922,120,39,4680
2020/2/25,CS008646,7,コーヒー,PD05484,150,39,5850
2020/2/25,CS004465,54,果汁入り炭酸飲料（5%以上10%未満）,PD02589,150,58,8700
2020/2/25,CS009530,108,ブレンド茶飲料,PD04580,120,112,13440
2020/2/25,CS009473,38,ミネラルウォーター類,PD05370,150,38,5700
2020/2/25,CS000183,122,スポーツ飲料等,PD03131,200,123,24600
2020/2/25,CS000730,70,コーヒー,PD00474,120,72,8640
2020/2/25,CS007130,87,むぎ茶飲料,PD07195,150,74,11100
2020/2/25,CS000557,64,むぎ茶飲料,PD01073,200,32,6400
2020/2/25,CS003958,53,スポーツ飲料等,PD02189,150,35,5250
2020/2/25,CS004000,79,コーヒー,PD04315,200,83,16600
2020/2/25,CS005679,124,ウーロン系飲料,PD03732,150,39,5850
2020/2/25,CS003737,22,ミネラルウォーター類,PD04956,200,25,5000
2020/2/25,CS005896,24,栄養ドリンク炭酸飲料,PD01469,200,55,11000
2020/2/26,CS008101,23,ミネラルウォーター類,PD02927,200,59,11800
2020/2/26,CS007462,57,コーヒー,PD01287,200,46,9200
2020/2/26,CS000730,70,ウーロン系飲料,PD06195,200,46,9200
2020/2/26,CS005114,86,ミネラルウォーター類,PD08401,120,57,6840
2020/2/26,CS006190,33,スポーツ飲料等,PD05236,200,32,6400
2020/2/26,CS005761,122,ブレンド茶飲料,PD06939,150,123,18450
2020/2/26,CS001036,26,むぎ茶飲料,PD03449,150,46,6900
2020/2/26,CS000730,70,ミネラルウォーター類,PD08050,100,37,3700
2020/2/26,CS009473,38,コーヒー,PD02881,200,43,8600
2020/2/26,CS006724,51,スポーツ飲料等,PD07017,120,42,5040
2020/2/26,CS005472,152,ミネラルウォーター類,PD01503,100,157,15700
2020/2/26,CS005432,320,ミネラルウォーター類,PD08324,100,326,32600
2020/2/26,CS005995,22,栄養ドリンク炭酸飲料,PD03053,150,43,6450
2020/2/26,CS007412,148,ミネラルウォーター類,PD04335,200,48,9600
2020/2/26,CS000921,24,ミネラルウォーター類,PD03943,150,49,7350
2020/2/26,CS005761,122,栄養ドリンク炭酸飲料,PD06932,150,133,19950
2020/2/26,CS000030,80,ミネラルウォーター類,PD05157,100,76,7600
2020/2/26,CS004392,103,スポーツ飲料等,PD06470,150,46,6900
2020/2/26,CS000730,70,むぎ茶飲料,PD04570,120,44,5280
2020/2/26,CS008477,388,コーヒー,PD07816,150,21,3150
2020/2/26,CS005896,24,豆乳類等,PD09456,150,24,3600
2020/2/26,CS000896,79,コーヒー,PD01758,200,79,15800
2020/2/26,CS004234,126,スポーツ飲料等,PD03837,150,137,20550
2020/2/26,CS000965,6,ミネラルウォーター類,PD07913,150,31,4650
2020/2/26,CS008646,7,ブレンド茶飲料,PD07109,150,2,300
2020/2/27,CS009123,397,ブレンド茶飲料,PD05660,150,60,9000
2020/2/27,CS004392,103,ミネラルウォーター類,PD08918,150,40,6000
2020/2/27,CS005564,126,栄養ドリンク炭酸飲料,PD03569,150,121,18150
2020/2/27,CS006334,98,ブレンド茶飲料,PD00901,200,89,17800
2020/2/27,CS004630,105,豆乳類等,PD01652,120,112,13440
2020/2/27,CS006726,80,むぎ茶飲料,PD02717,150,69,10350
2020/2/27,CS006726,80,ブレンド茶飲料,PD09054,150,38,5700
2020/2/27,CS002266,23,豆乳類等,PD09397,150,53,7950
2020/2/27,CS008430,22,ミネラルウォーター類,PD05035,150,16,2400
2020/2/27,CS000030,80,ミネラルウォーター類,PD00469,150,87,13050
2020/2/27,CS000896,79,コーラ炭酸飲料,PD09471,200,69,13800
2020/2/27,CS000030,80,ミネラルウォーター類,PD01347,200,28,5600
2020/2/27,CS006190,33,むぎ茶飲料,PD08328,150,37,5550
2020/2/27,CS003260,40,コーヒー,PD03907,200,45,9000
2020/2/27,CS005564,126,コーヒー,PD07640,150,43,6450
2020/2/27,CS001611,68,コーヒー,PD01878,150,54,8100
2020/2/27,CS006237,141,ミネラルウォーター類,PD09775,200,42,8400
2020/2/27,CS008365,16,果実ジュース（果汁100%）,PD07120,150,41,6150
2020/2/27,CS004630,105,コーラ炭酸飲料,PD04404,120,95,11400
2020/2/27,CS000557,64,コーヒー,PD00023,150,50,7500
2020/2/27,CS003277,7,コーヒー,PD01532,150,71,10650
2020/2/28,CS001611,68,栄養ドリンク炭酸飲料,PD09228,150,38,5700
2020/2/28,CS005564,126,むぎ茶飲料,PD05908,200,123,24600
2020/2/28,CS006627,58,ミネラルウォーター類,PD01890,100,57,5700
2020/2/28,CS001690,14,ミネラルウォーター類,PD01547,100,33,3300
2020/2/28,CS000778,18,コーラ炭酸飲料,PD01155,120,43,5160
2020/2/28,CS006726,80,ミネラルウォーター類,PD07730,150,33,4950
2020/2/28,CS008858,100,スポーツ飲料等,PD06470,150,50,7500
2020/2/28,CS001690,14,コーヒー,PD06998,150,17,2550
2020/2/28,CS004001,458,スポーツ飲料等,PD05166,150,438,65700
2020/2/28,CS007040,242,コーヒー,PD00115,120,41,4920
2020/2/28,CS000030,80,ミネラルウォーター類,PD05232,200,65,13000
2020/2/28,CS000730,70,ミネラルウォーター類,PD03844,200,45,9000
2020/2/28,CS000730,70,果実ジュース（果汁100%）,PD02266,200,71,14200
2020/2/28,CS008910,400,コーラ炭酸飲料,PD03664,200,54,10800
2020/2/28,CS006190,33,ミネラルウォーター類,PD05820,200,32,6400
2020/2/28,CS008239,159,コーヒー,PD00295,150,160,24000
