顧客ID,メニューID,来店日,お支払い額,クーポン
CS02498,P019,2021-01-17,450,なし
CS02498,P011,2021-01-17,250,なし
CS02498,P000,2021-01-17,580,なし
CS02498,P020,2021-01-17,550,なし
CS02498,P000,2021-01-17,580,なし
CS02498,P011,2021-01-17,250,なし
CS02498,P019,2021-01-17,428,クーポンB
CS02498,P005,2021-01-17,380,なし
CS02498,P020,2021-01-17,550,なし
CS02498,P012,2021-01-17,520,なし
CS02498,P013,2021-01-17,450,クーポンA
CS02498,P017,2021-01-17,380,なし
CS02498,P023,2021-01-17,600,なし
CS02498,P020,2021-01-17,550,なし
CS02498,P000,2021-01-17,580,なし
CS02498,P004,2021-01-17,380,なし
CS02498,P002,2021-01-17,420,なし
CS02498,P009,2021-01-17,290,なし
CS02498,P018,2021-01-17,420,なし
CS02498,P003,2021-01-17,380,なし
CS02498,P011,2021-01-17,250,なし
CS02498,P004,2021-01-17,380,なし
CS02498,P003,2021-01-17,380,なし
CS02498,P012,2021-01-17,520,なし
CS02498,P023,2021-01-17,600,なし
CS02498,P017,2021-01-17,380,なし
CS02498,P023,2021-01-17,600,なし
CS02498,P000,2021-01-17,580,なし
CS02498,P021,2021-01-17,580,なし
CS02498,P004,2021-01-17,380,なし
CS02498,P003,2021-01-17,380,なし
CS02498,P022,2021-01-17,570,なし
CS02498,P018,2021-01-17,420,なし
CS02498,P005,2021-01-17,380,なし
CS02498,P024,2021-01-17,530,クーポンA
CS02498,P010,2021-01-17,220,なし
CS02498,P001,2021-01-17,390,なし
CS02498,P016,2021-01-17,350,なし
CS02498,P018,2021-01-17,420,なし
CS02498,P014,2021-01-17,510,なし
CS02498,P017,2021-01-17,380,なし
CS02498,P008,2021-01-17,410,なし
CS00536,P006,2021-01-17,360,なし
CS00536,P013,2021-01-17,550,なし
CS00536,P015,2021-01-17,510,なし
CS01504,P017,2021-01-18,380,なし
CS00896,P004,2021-01-18,280,クーポンA
CS02149,P004,2021-01-18,380,なし
CS02149,P014,2021-01-18,510,なし
CS02149,P016,2021-01-18,350,なし
CS02149,P015,2021-01-18,510,なし
CS02149,P011,2021-01-18,238,クーポンB
CS00695,P020,2021-01-18,550,なし
CS00695,P001,2021-01-18,390,なし
CS00695,P014,2021-01-18,510,なし
CS00695,P024,2021-01-18,630,なし
CS00695,P005,2021-01-18,380,なし
CS02435,P012,2021-01-18,520,なし
CS02435,P004,2021-01-18,361,クーポンB
CS02435,P012,2021-01-18,494,クーポンB
CS02435,P024,2021-01-18,630,なし
CS02435,P007,2021-01-18,300,クーポンA
CS02435,P013,2021-01-18,550,なし
CS02435,P019,2021-01-18,450,なし
CS00559,P020,2021-01-18,523,クーポンB
CS00559,P011,2021-01-18,238,クーポンB
CS00528,P000,2021-01-18,580,なし
CS00528,P022,2021-01-18,570,なし
CS00528,P013,2021-01-18,523,クーポンB
CS00528,P005,2021-01-18,380,なし
CS00528,P024,2021-01-18,599,クーポンB
CS00751,P002,2021-01-18,420,なし
CS00751,P021,2021-01-18,580,なし
CS00751,P008,2021-01-18,410,なし
CS01280,P025,2021-01-18,870,なし
CS00924,P017,2021-01-18,380,なし
CS02658,P009,2021-01-18,290,なし
CS02658,P004,2021-01-18,380,なし
CS01135,P006,2021-01-19,360,なし
CS01135,P014,2021-01-19,510,なし
CS01135,P020,2021-01-19,550,なし
CS02205,P014,2021-01-19,510,なし
CS00054,P021,2021-01-19,580,なし
CS01471,P006,2021-01-19,360,なし
CS00592,P019,2021-01-19,450,なし
CS00592,P011,2021-01-19,250,なし
CS00592,P004,2021-01-19,380,なし
CS00592,P000,2021-01-19,551,クーポンB
CS00297,P001,2021-01-19,290,クーポンA
CS00297,P015,2021-01-19,510,なし
CS01101,P006,2021-01-19,360,なし
CS01101,P005,2021-01-19,380,なし
CS01101,P018,2021-01-19,420,なし
CS01101,P021,2021-01-19,580,なし
CS01970,P014,2021-01-19,410,クーポンA
CS01970,P012,2021-01-19,520,なし
CS01970,P008,2021-01-19,410,なし
CS02981,P022,2021-01-19,542,クーポンB
CS02981,P001,2021-01-19,390,なし
CS00443,P022,2021-01-19,570,なし
CS00443,P003,2021-01-19,380,なし
CS00443,P017,2021-01-19,380,なし
CS00443,P005,2021-01-19,380,なし
CS00443,P019,2021-01-19,428,クーポンB
CS00443,P009,2021-01-19,290,なし
CS01584,P002,2021-01-19,420,なし
CS01584,P015,2021-01-19,510,なし
CS01584,P001,2021-01-19,390,なし
CS01584,P003,2021-01-19,280,クーポンA
CS01584,P015,2021-01-19,510,なし
CS01584,P013,2021-01-19,550,なし
CS01584,P018,2021-01-19,420,なし
CS01584,P009,2021-01-19,290,なし
CS01584,P018,2021-01-19,420,なし
CS01584,P012,2021-01-19,520,なし
CS01584,P004,2021-01-19,380,なし
CS02335,P019,2021-01-20,450,なし
CS02335,P015,2021-01-20,510,なし
CS00168,P013,2021-01-20,550,なし
CS00168,P006,2021-01-20,360,なし
CS00168,P003,2021-01-20,380,なし
CS00168,P009,2021-01-20,290,なし
CS00168,P018,2021-01-20,420,なし
CS00168,P022,2021-01-20,570,なし
CS00168,P023,2021-01-20,600,なし
CS00168,P025,2021-01-20,870,なし
CS00168,P001,2021-01-20,390,なし
CS00168,P022,2021-01-20,570,なし
CS00168,P025,2021-01-20,827,クーポンB
CS00168,P006,2021-01-20,360,なし
CS00523,P002,2021-01-20,420,なし
CS00523,P011,2021-01-20,150,クーポンA
CS00523,P009,2021-01-20,290,なし
CS02211,P002,2021-01-20,420,なし
CS01782,P002,2021-01-20,420,なし
CS01782,P024,2021-01-20,630,なし
CS01782,P004,2021-01-20,380,なし
CS01449,P015,2021-01-20,510,なし
CS00402,P016,2021-01-20,350,なし
CS00545,P020,2021-01-20,550,なし
CS00361,P016,2021-01-21,350,なし
CS00162,P015,2021-01-21,510,なし
CS00931,P008,2021-01-21,410,なし
CS02488,P005,2021-01-21,380,なし
CS02488,P022,2021-01-21,570,なし
CS02488,P003,2021-01-21,380,なし
CS02488,P002,2021-01-21,420,なし
CS02488,P009,2021-01-21,290,なし
CS02488,P006,2021-01-21,342,クーポンB
CS02488,P025,2021-01-21,870,なし
CS02488,P024,2021-01-21,630,なし
CS02488,P018,2021-01-21,420,なし
CS02488,P003,2021-01-21,380,なし
CS02488,P021,2021-01-21,580,なし
CS01223,P010,2021-01-21,220,なし
CS00220,P020,2021-01-21,550,なし
CS00220,P013,2021-01-21,550,なし
CS00220,P006,2021-01-21,360,なし
CS00220,P001,2021-01-21,390,なし
CS02224,P024,2021-01-21,630,なし
CS02224,P014,2021-01-21,510,なし
CS02224,P012,2021-01-21,520,なし
CS02339,P003,2021-01-21,380,なし
CS02339,P013,2021-01-21,550,なし
CS02339,P016,2021-01-21,350,なし
CS02339,P014,2021-01-21,510,なし
CS00461,P019,2021-01-21,450,なし
CS00461,P019,2021-01-21,450,なし
CS00461,P000,2021-01-21,580,なし
CS00461,P015,2021-01-21,485,クーポンB
CS00461,P019,2021-01-21,450,なし
CS00562,P025,2021-01-21,870,なし
CS00562,P010,2021-01-21,220,なし
CS00562,P013,2021-01-21,550,なし
CS00562,P018,2021-01-21,420,なし
CS00562,P025,2021-01-21,870,なし
CS00562,P017,2021-01-21,380,なし
CS00562,P013,2021-01-21,550,なし
CS00914,P007,2021-01-21,400,なし
CS00567,P016,2021-01-21,350,なし
CS00567,P000,2021-01-21,580,なし
CS02048,P010,2021-01-22,220,なし
CS02048,P020,2021-01-22,550,なし
CS02048,P018,2021-01-22,420,なし
CS02726,P006,2021-01-22,360,なし
CS02726,P012,2021-01-22,520,なし
CS00345,P006,2021-01-22,360,なし
CS00663,P013,2021-01-22,450,クーポンA
CS00663,P003,2021-01-22,380,なし
CS02157,P017,2021-01-22,380,なし
CS02157,P019,2021-01-22,450,なし
CS02157,P019,2021-01-22,450,なし
CS02157,P023,2021-01-22,600,なし
CS02157,P002,2021-01-22,420,なし
CS02157,P004,2021-01-22,380,なし
CS02157,P025,2021-01-22,870,なし
CS01651,P005,2021-01-22,380,なし
CS01651,P003,2021-01-22,380,なし
CS00775,P020,2021-01-22,550,なし
CS02593,P008,2021-01-23,410,なし
CS02593,P011,2021-01-23,250,なし
CS02593,P009,2021-01-23,290,なし
CS02593,P016,2021-01-23,350,なし
CS02593,P012,2021-01-23,520,なし
CS02593,P017,2021-01-23,380,なし
CS02593,P025,2021-01-23,870,なし
CS02593,P010,2021-01-23,220,なし
CS02593,P021,2021-01-23,580,なし
CS02593,P025,2021-01-23,870,なし
CS02593,P015,2021-01-23,510,なし
CS02593,P025,2021-01-23,870,なし
CS02593,P000,2021-01-23,580,なし
CS02593,P006,2021-01-23,360,なし
CS02593,P019,2021-01-23,450,なし
CS02593,P022,2021-01-23,570,なし
CS02593,P017,2021-01-23,380,なし
CS02593,P010,2021-01-23,220,なし
CS02593,P001,2021-01-23,390,なし
CS02834,P018,2021-01-23,420,なし
CS00318,P007,2021-01-23,400,なし
CS00318,P003,2021-01-23,380,なし
CS00318,P022,2021-01-23,570,なし
CS00318,P022,2021-01-23,570,なし
CS00318,P024,2021-01-23,630,なし
CS00318,P000,2021-01-23,580,なし
CS00318,P019,2021-01-23,450,なし
CS00318,P010,2021-01-23,209,クーポンB
CS00318,P002,2021-01-23,420,なし
CS00318,P007,2021-01-23,400,なし
CS00318,P022,2021-01-23,570,なし
CS00123,P021,2021-01-23,580,なし
CS00123,P011,2021-01-23,250,なし
CS00123,P021,2021-01-23,580,なし
CS00124,P022,2021-01-23,570,なし
CS00124,P006,2021-01-23,360,なし
CS00124,P017,2021-01-23,380,なし
CS00124,P014,2021-01-23,510,なし
CS00124,P002,2021-01-23,420,なし
CS00124,P007,2021-01-23,400,なし
CS00124,P011,2021-01-23,250,なし
CS01829,P006,2021-01-23,360,なし
CS01829,P001,2021-01-23,390,なし
CS01829,P005,2021-01-23,380,なし
CS00028,P005,2021-01-23,380,なし
CS00028,P024,2021-01-23,630,なし
CS00028,P015,2021-01-23,510,なし
CS00545,P023,2021-01-23,600,なし
CS00545,P021,2021-01-23,580,なし
CS00545,P024,2021-01-23,630,なし
CS00545,P004,2021-01-23,380,なし
CS01883,P021,2021-01-23,580,なし
CS01883,P002,2021-01-23,420,なし
CS01883,P011,2021-01-23,250,なし
CS01883,P019,2021-01-23,450,なし
CS01883,P012,2021-01-23,520,なし
CS01883,P014,2021-01-23,485,クーポンB
CS01883,P014,2021-01-23,510,なし
CS01883,P020,2021-01-23,550,なし
CS01883,P010,2021-01-23,220,なし
CS01883,P004,2021-01-23,380,なし
CS02155,P013,2021-01-24,550,なし
CS01629,P001,2021-01-24,390,なし
CS01629,P018,2021-01-24,420,なし
CS01629,P013,2021-01-24,550,なし
CS01629,P003,2021-01-24,380,なし
CS01629,P023,2021-01-24,600,なし
CS01629,P024,2021-01-24,530,クーポンA
CS01629,P018,2021-01-24,420,なし
CS01629,P011,2021-01-24,250,なし
CS01629,P023,2021-01-24,600,なし
CS01629,P004,2021-01-24,380,なし
CS01629,P006,2021-01-24,360,なし
CS01629,P004,2021-01-24,380,なし
CS01629,P009,2021-01-24,290,なし
CS01629,P018,2021-01-24,420,なし
CS01629,P000,2021-01-24,580,なし
CS01848,P013,2021-01-24,550,なし
CS01848,P025,2021-01-24,870,なし
CS01509,P001,2021-01-24,390,なし
CS02339,P018,2021-01-24,420,なし
CS02339,P023,2021-01-24,500,クーポンA
CS02188,P025,2021-01-24,870,なし
CS02188,P014,2021-01-24,510,なし
CS02188,P016,2021-01-24,350,なし
CS02182,P009,2021-01-24,290,なし
CS02182,P014,2021-01-24,510,なし
CS02182,P007,2021-01-24,400,なし
CS02182,P015,2021-01-24,510,なし
CS02182,P001,2021-01-24,390,なし
CS02182,P013,2021-01-24,550,なし
CS02182,P003,2021-01-24,380,なし
CS02182,P016,2021-01-24,350,なし
CS00105,P017,2021-01-24,380,なし
CS02041,P019,2021-01-24,450,なし
CS02041,P001,2021-01-24,390,なし
CS02041,P008,2021-01-24,410,なし
CS00275,P012,2021-01-24,520,なし
CS00275,P021,2021-01-24,580,なし
CS00275,P014,2021-01-24,485,クーポンB
CS00275,P019,2021-01-24,450,なし
CS00275,P013,2021-01-24,550,なし
CS00275,P012,2021-01-24,520,なし
CS00275,P006,2021-01-24,360,なし
CS00275,P004,2021-01-24,380,なし
CS00275,P011,2021-01-24,250,なし
CS00275,P003,2021-01-24,380,なし
CS00275,P014,2021-01-24,510,なし
CS00275,P008,2021-01-24,410,なし
CS00275,P015,2021-01-24,510,なし
CS00275,P009,2021-01-24,190,クーポンA
CS00275,P005,2021-01-24,380,なし
CS00275,P022,2021-01-24,570,なし
CS00275,P015,2021-01-24,510,なし
CS00275,P019,2021-01-24,450,なし
CS00275,P011,2021-01-24,250,なし
CS00275,P006,2021-01-24,360,なし
CS01708,P021,2021-01-25,580,なし
CS01708,P019,2021-01-25,450,なし
CS01708,P003,2021-01-25,380,なし
CS02724,P013,2021-01-25,550,なし
CS02724,P002,2021-01-25,420,なし
CS02724,P024,2021-01-25,630,なし
CS02724,P017,2021-01-25,380,なし
CS02724,P006,2021-01-25,260,クーポンA
CS02417,P020,2021-01-25,550,なし
CS02417,P019,2021-01-25,450,なし
CS00098,P003,2021-01-25,380,なし
CS00098,P004,2021-01-25,380,なし
CS00676,P020,2021-01-25,550,なし
CS00540,P018,2021-01-25,420,なし
CS01009,P019,2021-01-25,450,なし
CS01369,P012,2021-01-25,520,なし
CS01036,P014,2021-01-25,510,なし
CS01869,P006,2021-01-25,360,なし
CS01869,P001,2021-01-25,390,なし
CS02199,P009,2021-01-25,190,クーポンA
CS02199,P023,2021-01-25,600,なし
CS02199,P022,2021-01-25,570,なし
CS01135,P021,2021-01-26,580,なし
CS02993,P006,2021-01-26,360,なし
CS02581,P010,2021-01-26,220,なし
CS02581,P004,2021-01-26,380,なし
CS02581,P022,2021-01-26,570,なし
CS02581,P004,2021-01-26,280,クーポンA
CS02581,P017,2021-01-26,380,なし
CS01205,P014,2021-01-26,510,なし
CS01205,P013,2021-01-26,550,なし
CS01205,P021,2021-01-26,580,なし
CS01205,P005,2021-01-26,380,なし
CS01205,P019,2021-01-26,450,なし
CS01205,P013,2021-01-26,550,なし
CS02591,P023,2021-01-26,600,なし
CS02591,P009,2021-01-26,290,なし
CS02257,P013,2021-01-26,550,なし
CS02257,P024,2021-01-26,630,なし
CS02257,P005,2021-01-26,380,なし
CS02257,P022,2021-01-26,570,なし
CS02257,P016,2021-01-26,350,なし
CS02766,P011,2021-01-26,250,なし
CS02766,P011,2021-01-26,250,なし
CS02766,P009,2021-01-26,290,なし
CS02766,P009,2021-01-26,276,クーポンB
CS02766,P024,2021-01-26,630,なし
CS00349,P013,2021-01-26,550,なし
CS00349,P018,2021-01-26,420,なし
CS00349,P010,2021-01-26,220,なし
CS00409,P021,2021-01-26,580,なし
CS00409,P023,2021-01-26,600,なし
CS00447,P017,2021-01-26,380,なし
CS00447,P005,2021-01-26,380,なし
CS02947,P009,2021-01-26,290,なし
CS02947,P016,2021-01-26,350,なし
CS02947,P021,2021-01-26,580,なし
CS02947,P007,2021-01-26,400,なし
CS02947,P003,2021-01-26,380,なし
CS02947,P003,2021-01-26,380,なし
CS02947,P004,2021-01-26,380,なし
CS02947,P018,2021-01-26,399,クーポンB
CS02947,P004,2021-01-26,380,なし
CS02947,P023,2021-01-26,600,なし
CS02947,P024,2021-01-26,630,なし
CS02947,P004,2021-01-26,380,なし
CS02947,P019,2021-01-26,450,なし
CS02947,P016,2021-01-26,350,なし
CS02947,P011,2021-01-26,250,なし
CS02947,P014,2021-01-26,510,なし
CS02947,P017,2021-01-26,380,なし
CS02947,P010,2021-01-26,220,なし
CS02947,P009,2021-01-26,276,クーポンB
CS02641,P021,2021-01-26,580,なし
CS02641,P010,2021-01-26,220,なし
CS02641,P020,2021-01-26,550,なし
CS02641,P014,2021-01-26,485,クーポンB
CS02641,P018,2021-01-26,399,クーポンB
CS02641,P024,2021-01-26,599,クーポンB
CS02731,P023,2021-01-26,600,なし
CS00646,P003,2021-01-26,380,なし
CS00646,P002,2021-01-26,420,なし
CS00160,P017,2021-01-26,380,なし
CS00160,P004,2021-01-26,380,なし
CS00160,P019,2021-01-26,450,なし
CS00160,P016,2021-01-26,350,なし
CS00160,P022,2021-01-26,570,なし
CS00642,P021,2021-01-26,580,なし
CS00330,P022,2021-01-26,570,なし
CS01480,P003,2021-01-26,380,なし
CS01480,P021,2021-01-26,580,なし
CS01480,P008,2021-01-26,410,なし
CS01480,P010,2021-01-26,220,なし
CS01480,P013,2021-01-26,550,なし
CS01480,P016,2021-01-26,350,なし
CS01480,P010,2021-01-26,220,なし
CS01480,P019,2021-01-26,450,なし
CS00661,P002,2021-01-26,420,なし
CS00545,P022,2021-01-26,570,なし
CS00675,P011,2021-01-27,250,なし
CS00675,P011,2021-01-27,250,なし
CS00675,P019,2021-01-27,450,なし
CS01540,P006,2021-01-27,342,クーポンB
CS01540,P009,2021-01-27,290,なし
CS01540,P002,2021-01-27,420,なし
CS00238,P020,2021-01-27,550,なし
CS00238,P005,2021-01-27,380,なし
CS00238,P006,2021-01-27,360,なし
CS02842,P000,2021-01-27,580,なし
CS02842,P006,2021-01-27,360,なし
CS02319,P000,2021-01-27,580,なし
CS02319,P016,2021-01-27,350,なし
CS02319,P002,2021-01-27,420,なし
CS02319,P005,2021-01-27,380,なし
CS02055,P018,2021-01-27,420,なし
CS02055,P003,2021-01-27,380,なし
CS02055,P013,2021-01-27,550,なし
CS02055,P017,2021-01-27,380,なし
CS02055,P024,2021-01-27,630,なし
CS02055,P006,2021-01-27,360,なし
CS02055,P004,2021-01-27,380,なし
CS02055,P022,2021-01-27,570,なし
CS02055,P008,2021-01-27,410,なし
CS02714,P022,2021-01-27,570,なし
CS02714,P005,2021-01-27,380,なし
CS02714,P004,2021-01-27,380,なし
CS02714,P012,2021-01-27,520,なし
CS02714,P019,2021-01-27,450,なし
CS02714,P013,2021-01-27,550,なし
CS02714,P013,2021-01-27,550,なし
CS02394,P012,2021-01-28,520,なし
CS02394,P016,2021-01-28,350,なし
CS02394,P021,2021-01-28,580,なし
CS02394,P000,2021-01-28,580,なし
CS02394,P016,2021-01-28,250,クーポンA
CS02394,P004,2021-01-28,380,なし
CS02760,P004,2021-01-28,280,クーポンA
CS02760,P019,2021-01-28,350,クーポンA
CS02760,P003,2021-01-28,380,なし
CS02682,P008,2021-01-28,410,なし
CS02682,P021,2021-01-28,580,なし
CS02682,P008,2021-01-28,410,なし
CS02682,P019,2021-01-28,450,なし
CS01875,P018,2021-01-28,420,なし
CS01875,P005,2021-01-28,380,なし
CS01875,P000,2021-01-28,580,なし
CS01875,P018,2021-01-28,420,なし
CS01875,P009,2021-01-28,290,なし
CS01936,P012,2021-01-28,520,なし
CS01936,P022,2021-01-28,570,なし
CS01531,P020,2021-01-28,550,なし
CS00974,P022,2021-01-28,570,なし
CS00974,P003,2021-01-28,380,なし
CS02907,P002,2021-01-28,399,クーポンB
CS02907,P014,2021-01-28,510,なし
CS02907,P008,2021-01-28,410,なし
CS01442,P003,2021-01-28,380,なし
CS01442,P011,2021-01-28,250,なし
CS01442,P017,2021-01-28,380,なし
CS01442,P001,2021-01-28,390,なし
CS01442,P008,2021-01-28,410,なし
CS01442,P001,2021-01-28,290,クーポンA
CS01442,P009,2021-01-28,290,なし
CS01442,P020,2021-01-28,550,なし
CS01442,P020,2021-01-28,450,クーポンA
CS01442,P001,2021-01-28,390,なし
CS01442,P009,2021-01-28,290,なし
CS01442,P002,2021-01-28,420,なし
CS01418,P012,2021-01-29,520,なし
CS01418,P005,2021-01-29,361,クーポンB
CS01418,P021,2021-01-29,580,なし
CS01418,P014,2021-01-29,510,なし
CS01418,P008,2021-01-29,410,なし
CS01418,P010,2021-01-29,220,なし
CS00644,P024,2021-01-29,630,なし
CS00644,P020,2021-01-29,550,なし
CS00644,P003,2021-01-29,380,なし
CS00644,P003,2021-01-29,380,なし
CS00644,P020,2021-01-29,550,なし
CS00644,P017,2021-01-29,380,なし
CS00644,P006,2021-01-29,360,なし
CS00644,P015,2021-01-29,510,なし
CS00644,P006,2021-01-29,360,なし
CS00644,P023,2021-01-29,600,なし
CS00249,P005,2021-01-29,380,なし
CS00249,P020,2021-01-29,550,なし
CS00249,P012,2021-01-29,420,クーポンA
CS00249,P022,2021-01-29,542,クーポンB
CS00124,P003,2021-01-30,280,クーポンA
CS00124,P016,2021-01-30,350,なし
CS00124,P000,2021-01-30,580,なし
CS02591,P008,2021-01-30,410,なし
CS00516,P005,2021-01-30,280,クーポンA
CS00516,P017,2021-01-30,380,なし
CS02095,P021,2021-01-30,580,なし
CS02095,P021,2021-01-30,580,なし
CS02095,P014,2021-01-30,410,クーポンA
CS02095,P008,2021-01-30,310,クーポンA
CS02095,P004,2021-01-30,380,なし
CS02095,P010,2021-01-30,209,クーポンB
CS00766,P015,2021-01-30,510,なし
CS00766,P014,2021-01-30,410,クーポンA
CS00410,P017,2021-01-30,380,なし
CS00410,P008,2021-01-30,410,なし
CS00410,P020,2021-01-30,550,なし
CS00098,P022,2021-01-30,570,なし
CS01938,P010,2021-01-30,120,クーポンA
CS00974,P008,2021-01-31,410,なし
CS00974,P024,2021-01-31,630,なし
CS00974,P014,2021-01-31,510,なし
CS01369,P011,2021-01-31,250,なし
CS01369,P023,2021-01-31,600,なし
CS01720,P009,2021-01-31,290,なし
CS01720,P022,2021-01-31,570,なし
CS01720,P018,2021-01-31,420,なし
CS01720,P004,2021-01-31,380,なし
CS01720,P025,2021-01-31,870,なし
CS01720,P016,2021-01-31,350,なし
CS00751,P001,2021-01-31,390,なし
CS00751,P012,2021-01-31,520,なし
CS00751,P018,2021-01-31,420,なし
CS00751,P014,2021-01-31,510,なし
CS02892,P001,2021-01-31,390,なし
CS02892,P007,2021-01-31,400,なし
CS02892,P001,2021-01-31,390,なし
CS02463,P011,2021-01-31,250,なし
CS02463,P019,2021-01-31,450,なし
CS02463,P006,2021-01-31,360,なし
CS02463,P020,2021-01-31,523,クーポンB
CS02463,P012,2021-01-31,520,なし
CS00489,P009,2021-01-31,290,なし
CS00489,P002,2021-01-31,420,なし
CS01994,P020,2021-01-31,550,なし
CS01994,P008,2021-01-31,410,なし
CS00747,P025,2021-01-31,870,なし
CS00747,P011,2021-01-31,250,なし
CS00747,P025,2021-01-31,870,なし
CS00747,P000,2021-01-31,580,なし
CS00747,P008,2021-01-31,410,なし
CS00747,P000,2021-01-31,580,なし
CS00747,P011,2021-01-31,250,なし
CS00747,P015,2021-01-31,510,なし
CS00747,P016,2021-01-31,350,なし
CS00747,P015,2021-01-31,510,なし
CS00747,P016,2021-01-31,350,なし
CS00747,P005,2021-01-31,380,なし
CS00747,P025,2021-01-31,870,なし
CS00747,P025,2021-01-31,770,クーポンA
CS00747,P025,2021-01-31,870,なし
CS00747,P022,2021-01-31,570,なし
CS00747,P000,2021-01-31,580,なし
CS00747,P020,2021-01-31,550,なし
CS00747,P017,2021-01-31,380,なし
CS00747,P006,2021-01-31,360,なし
CS00747,P016,2021-01-31,350,なし
CS00747,P007,2021-01-31,400,なし
CS00747,P013,2021-01-31,550,なし
CS00747,P003,2021-01-31,380,なし
CS00747,P011,2021-01-31,250,なし
CS00747,P020,2021-01-31,550,なし
CS01340,P003,2021-01-31,380,なし
CS01340,P012,2021-01-31,520,なし
CS01340,P013,2021-01-31,450,クーポンA
CS01340,P020,2021-01-31,550,なし
